Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
826,2017-05-16,Fynd,Ecommerce,Fashion Ecommerce Portal,Mumbai,Rocketship,Private Equity,500000.0
827,2017-05-17,Genie,Consumer Internet,Hyperlocal Delivery And Logistics Mobile App,Chennai,Undisclosed Investors,Seed Funding,250000.0
828,2017-05-17,Paysense,Consumer Internet,Online Lending Platform,Mumbai,Jungle Ventures,Private Equity,5300000.0
829,2017-05-18,The Good Life,Ecommerce,Online Luxury Tea Etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000.0
831,2017-05-18,Paytm,Ecommerce,Mobile Wallet & Ecommerce Platform,Bangalore,Softbank Group,Private Equity,1400000000.0
832,2017-05-19,Ezcred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000.0
835,2017-05-22,Delhivery,Logistics,Ecommerce Logistics Provider,New Delhi,Fosun International,Private Equity,30000000.0
836,2017-05-22,Zipgrid,Consumer Internet,"Cashless, Paperless Solutions For Housing Societies",Mumbai,"Jll, 1Crowd",Seed Funding,500000.0
838,2017-05-23,Magicpin,Consumer Internet,Hyperlocal Discovery Platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000.0
840,2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000.0
841,2017-05-24,Gennext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000.0
842,2017-05-25,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000.0
847,2017-05-29,Collateral Medical,Ecommerce,Online Medical Equipment Supplier,Mumbai,Carpediem Capital,Private Equity,3500000.0
850,2017-05-30,Supr Daily,Consumer Internet,Subscription Based Delivery Platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000.0
851,2017-05-30,Swiggy,Consumer Internet,Online Food Delivery Platform,Bangalore,"Nasper, Accel India, Saif Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000.0
852,2017-05-31,Sastasundar,Ecommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000.0
853,2017-05-31,Magicpin,Consumer Internet,Hyperlocal Discovery\\Xc2\\Xa0 & Rewards Platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000.0
854,2017-04-01,Cashe,Consumer Internet,Online & Mobile Based Lending Platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.0
